Starting up http-server, serving ./

http-server version: 14.1.1

http-server settings: 
CORS: disabled
Cache: -1 seconds
Connection Timeout: 120 seconds
Directory Listings: visible
AutoIndex: visible
Serve GZIP Files: false
Serve Brotli Files: false
Default File Extension: none

Available on:
  http://192.168.1.37:3000
  http://127.0.0.1:3000
Hit CTRL-C to stop the server

[2026-02-15T22:52:40.740Z]  "GET /index.html" "curl/8.17.0"
[2026-02-15T22:52:49.450Z]  "GET /index.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
[2026-02-15T22:52:49.485Z]  "GET /css/main.css" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
[2026-02-15T22:52:49.493Z]  "GET /css/branding.css" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
[2026-02-15T22:52:49.545Z]  "GET /src/main.js" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
[2026-02-15T22:52:49.563Z]  "GET /src/presentation/components/MTGArenaSnifferApp.js" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
[2026-02-15T22:52:49.617Z]  "GET /src/infrastructure/data/DatabaseManager.js" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
[2026-02-15T22:52:49.629Z]  "GET /src/infrastructure/data/DeckPredictionEngine.js" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
[2026-02-15T22:52:49.636Z]  "GET /src/application/events/EventBus.js" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
[2026-02-15T22:52:49.637Z]  "GET /src/presentation/components/HeaderComponent.js" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
[2026-02-15T22:52:49.652Z]  "GET /src/presentation/components/CardInputComponent.js" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
[2026-02-15T22:52:49.680Z]  "GET /src/presentation/components/PredictionsComponent.js" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
[2026-02-15T22:52:49.687Z]  "GET /src/presentation/components/ConfirmedDeckComponent.js" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
[2026-02-15T22:52:49.707Z]  "GET /src/presentation/components/StatusComponent.js" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
[2026-02-15T22:52:49.712Z]  "GET /src/presentation/components/DebugComponent.js" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
[2026-02-15T22:52:49.713Z]  "GET /src/presentation/components/MetaBrowserComponent.js" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
[2026-02-15T22:52:49.725Z]  "GET /src/presentation/components/DeckDetailComponent.js" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
[2026-02-15T22:52:49.726Z]  "GET /src/application/services/GameService.js" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
[2026-02-15T22:52:49.741Z]  "GET /src/infrastructure/data/MTGGoldfishCompleteScraper.js" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
[2026-02-15T22:52:49.741Z]  "GET /favicon.ico" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
[2026-02-15T22:52:49.748Z]  "GET /src/presentation/components/BaseComponent.js" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
[2026-02-15T22:52:49.749Z]  "GET /favicon.ico" Error (404): "Not found"
[2026-02-15T22:53:30.879Z]  "GET /src/test-app.js" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
[2026-02-15T22:58:43.222Z]  "GET /debug-scraper.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
[2026-02-15T22:58:43.265Z]  "GET /src/infrastructure/data/MTGGoldfishCompleteScraper.js" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
[2026-02-15T22:58:49.060Z]  "GET /debug-scraper.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
[2026-02-15T22:58:49.123Z]  "GET /src/infrastructure/data/MTGGoldfishCompleteScraper.js" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
[2026-02-15T22:58:55.665Z]  "GET /debug-scraper.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
[2026-02-15T22:58:55.728Z]  "GET /src/infrastructure/data/MTGGoldfishCompleteScraper.js" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
